Player Name,Player ID,Wickets Taken,WicketValues,Num_Bowl_Innings,WicketValue_AVG,Wickets_AVG,WicketValues_normed,WicketValue_AVG_normed,Bowling_Combined_Score
shayan sheikh,70.0,3,4.432453703703704,7,0.633207671957672,0.42857142857142855,0.05,0.05,5.0
danish aziz,95.0,6,5.443129797979799,9,0.6047921997755332,0.6666666666666666,0.05,0.05,5.0
muhammad awais anwar,133.0,2,2.075006313131313,6,0.3458343855218855,0.3333333333333333,0.05,0.05,5.0
yasir shah,329.0,3,3.004057575757576,5,0.6008115151515152,0.6,0.05,0.05,5.0
m faizan,419.0,3,2.3520300000000005,5,0.4704060000000001,0.6,0.05,0.05,5.0
zaman khan,20.0,7,5.66647157894737,10,0.566647157894737,0.7,0.05,0.05,5.0
arafat minhas,93.0,4,4.532892604617604,9,0.5036547338464005,0.4444444444444444,0.05,0.05,5.0
sajid khan,105.0,2,2.371483333333334,5,0.47429666666666676,0.4,0.05,0.05,5.0
faisal akram,119.0,5,5.1465898989899,8,0.6433237373737375,0.625,0.05,0.05,5.0
aamer yamin,120.0,3,3.8687777777777783,8,0.4835972222222223,0.375,0.05,0.05,5.0
muhammad imran,433.0,2,2.310525,5,0.46210500000000004,0.4,0.05,0.05,5.0
israrullah,422.0,3,2.8064777777777787,5,0.5612955555555558,0.6,0.05,0.05,5.0
salman ali agha,427.0,2,2.630843939393939,5,0.5261687878787878,0.4,0.05,0.05,5.0
iftikhar ahmed,428.0,5,5.655105555555556,15,0.3770070370370371,0.3333333333333333,0.05,0.05,5.0
muhammad shahzad,420.0,3,3.0750151515151516,6,0.5125025252525253,0.5,0.05,0.05,5.0
