Player Name,Player ID,Tournament,Match ID,Innings Number,Team Standing,Opposition Standing,Total Runs Of Own Team,Total Wickets Lost By Own Team,Total Balls Played By Own Team,Total Runs Of Opposition Team,Total Wickets Lost By Opposition Team,Total Balls Played By Opposition Team,Runs Made,Balls Consumed,Batting Position,Dismissed,Dismissal Type,Special Batting Talent,Balls Bowled,Runs Given,Wickets Taken,Maidens Bowled,Batters Dismissed,Special Bowling Talent
Naveed Malik,258,National T20,17,1,4,2,164,8,120,168,5,110,0,1,5,yes,4,no,24,28,2,0,"3,6",no
Raja Farhan Khan,254,PSL X,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Faizan Saleem,257,Champions T20 2024-25,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Faizan Saleem,257,PSL X,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Naveed Malik,258,Champions T20 2024-25,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Naveed Malik,258,PSL X,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Mohammad Maooz,259,National T20,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Mohammad Maooz,259,Champions T20 2024-25,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Mohammad Maooz,259,PSL X,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Najam Naseer Kiyani,260,National T20,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Najam Naseer Kiyani,260,Champions T20 2024-25,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Najam Naseer Kiyani,260,PSL X,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Hamad Islam,261,National T20,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
Hamad Islam,261,Champions T20 2024-25,DNP,,,,,,,,,,,,,DNP,6,,,,,,DNP,
